Описание;Неисправность
 Одной из неприятных вещей был сдохший термостат, почему-то первая замена не увенчалась успехом, поэтому был куплен еще комплект антифриза и корпус термостата, после его замены все стало хорошо, мотор стал греться с 65-70 до 93-97. Конечно же салон заполнило тепло и уют ))));система охлаждения
 За все вложенные усилия, Дед Мороз под елочку подарочки принес );неисправность отсутствует
" Вот такие вот плодотворные 3.5 месяца Денег, конечно, все это забрало не мало: (по памяти) — Антикор 30₽ — Тормоза + ТО ДВС 100₽ — ТО трансмиссия 40₽ — Шаровые и сайленты 25₽ — Резина 50₽ — Термостат (с двойной работой) 20₽ — Дитейлинг 100₽ — Итого под 400₽ с учетом всякой мелочевки и 100% что-то забыл написать )))) ну да ладно, для себя ж )Компания: MotulDrive""";неисправность отсутствует
"""Привет друзья! Долго смотрел на мои бывшие 7ки и замечал что те машины были чуть ниже перед. На этой стоят EDC амортизаторы а вот пружины толи родные чуть занижены которые бывают с такой подвеской или эйбахи. Нашел стойки с японца с пружинами H&R хотелось перед чутка ниже) в итоге поменяли но щас не понять так как салона в машине нет и села она практический так же) Стала чуть жестковатой) Свои стойки в сборе EDC я скорей всего продам, так как у меня они не работали сзади уже были сняты до меня в Японии, а передние были отключены. Амортизаторы не потекшие штекера целые, продам вместе с пружинами. Надписей нет но они черные 99% eibach -30""";подвеска
Финальным штрихом к чистке дросселя с коллектором стала новая Крышка головки блока цилиндров. (orig.);неисправность отсутствует
"""Напомню — это моя первая машина и я даже не догадывался, что за кожей есть свой уход. Спросив у старших товарищей мне объяснили, что и как нужно делать. Я сразу поехал в магазин «Автокосметика 38» там посоветовавшись с консультантом купил кондиционер для кожи, немецкого производителя «Koch Chemie”. Посмотрев множество видосов на ютубе, понял, что лучше всего наносить кондиционер на чистую кожу. Поэтому без промедлений записался на хим. чистку (на самом деле после покупки б/у автомобиля, все время меня не покидала мысль сделать хим. чистку, но как-то руки не доходили, а тут и повод появился). Когда я увидел завершенную работу сотрудников детейлинг центра, был приятно удивлен. Салон машины в прекрасном состоянии! Кожа у старых немцев и правда очень крепкая! Но чтобы она сохранилась еще дольше, за ней нужен правильный уход, чем я и решил заняться) Наносил кондиционер хорошим, толстым слоем, кожа моментально впитывала этот раствор. С первого взгляда можно найти отличия, от обработанной кожи и от той, к которой я еще не прикасался. На все у меня ушло около 40 минут (можно быстрее, но я получал от этого удовольствие и делал не торопясь, на совесть) После этого я оставил кожу на ночь, чтобы она напиталась. Итог — просто пушка! 👇👇👇 Что мы получаем, когда пользуемся кондиционером для кожи? Срок службы вашей кожи, увеличивается в разы! Уменьшается вероятность появления трещин на коже. Она становится более мягкой, эластичной, гибкой, что в последствии предотвратит появление заломов на сиденьи. Кондиционер дает хоть и маленький, но какой никакой защитный слой от воды и пятен. Салон выглядит намного свежее, цвет кожи становится более насыщенным. Так же слой кондиционера дает защиту от выгорания на солнце. Мелкие потёртости и царапки устраняются под воздействием состава. Ну и очень приятный бонус, который меня удивил — кожа начинает пахнуть очень классно, не нужна никакая вонючка😂 она впитывает в себя запах кондиционера и когда садишься в машину, ощущаешь приятный запах)Компания: KochChemie""";неисправность отсутствует
"""Только выехал после полного то и замены пыльника шруса, как он приказал долго жить, неудивительно, выработка была огромной, а собрал я все точно не так как оно приработалось до этого, тот случай когда лучшее враг хорошего, и без замены пыльника еще бы ездил и ездил. В общем отставить грусть, куплен новый бу привод в сборе, продолжаем радоваться 40 летнему немцу)""";неисправность отсутствует
Буднично поменял колодки сзади. Как и спереди взял ferodo. Цена 4300 что понятно дешевле чем спереди. Замена еще 1500 у знакомого. Там нужно было через программу отжимать ручник и потом обратно. Ну и музыка. Подписался на Qobuz и спотифай на попробовать и сравнить. Даже с телефона спотифай сливает по качеству. Более того он сливает Яндексу. Яндекс оказался весьма не плох по сравнению. И очень близок к кубузу в базе. Но все меняется когда включаешь композиции в hi res. Это бомба. У меня в тачке харман и это реально просто отрыв башки. Музыка раскрылась по полной. Теперь ищу усилок домой ибо старый ав ресивер просто не тянет. То есть конечно чувствуется качество но весьма приглушенно. Подписался по месяцу. Кубуз буду подписывать на год. Спотифай в топку. Яндекс лучше качеством но нет опции подключить к хай фай системе через стример. Возможно через китайские получится но есть дома хороший именитого производителя);тормозная система
"""Привет всем больным на голову. И так, может кому-то пригодится информация. снимаем салазки, там не сложно разобраться как. Срубаем все клепки и отделяем салазки друг от друга. Дальше самое интересное, что разобрать одну салазку на 2 части, я сделал следующее, значит сзади есть клепка, которая является ограничителем движения назад, срубаем её или высверливаем. Далее, есть еще 2 ограничителя сзади, они отштампованы на каждой половинке, в тех ложбинках в которых двигаются шарики, берем сверло, не помню диаметр, подберете, и высверливаем 2 отверстия, затем аккуратно выстукиваем одну часть из другой. Будьте внимательны, шарики выпрыгивают в разные стороны. И так, сначала выпадет 8 Шаров, затем пластиковые направляюще, затем еще 4 шара, всего 12, собирать будете в обратном порядке, сначала по 2 шарика на каждую ложбинку, затем пластик, и далее по 4 шарика. Чистить их крайне геморойное занятие, лучше отдать в аквабласт. Но руки чесались сильно, а ехать за услугой далеко. В общем готово практически, надеюсь пригодится. Состояние ужасное Делайте фото как что стояло, что бы не мучится Заводская заклепка ограничитель, срубаем Состояние как вот. Это ограничитель отштампованный, его высверливаем. Выбиваем Все отдельно Покрашено баллоном Собираем в одно целое. Заклепка вместо ограничителей, не знаю толщину, подобрал на глаз из того что было, длинна 10мм Готовые, собранные. Ограничитель движения назад, который в виде заклепки с завода, тут 10мм длинны не хватит, купил 4.8х16 Дополнительно шлифанул и покрасил в сборе полеуретановой двухкомпонентной краской, ложиться не очень красиво, но прочная и не пропускает влагу. Состояние каркаса Чистил щетками на болгарку дрель и гровёр Покрашено с баллона, собираем дальше.""";неисправность отсутствует
Идею вынашивал уже очень давно, но недавно-так решился. Для настоящих бмводов, думаю, все достаточно очевидно, но давайте погадаем, что там такое на фото, и что на этом фото странного… (Да, я знаю, что я фотогорафотбога, фоткал на 3310);неисправность отсутствует
"""После покупки машины встал вопрос смены колес, так как на штатных r17 вид унылый. Хотел на зиму r19, в этом размере одноширокие диски было сложно найти по приемлемой цене, китай весь разноширокий, и для меня пока неясен по качеству, из б/у на авито выбор очень скудный, в итоге нашел абсолютно новый комплект 633 стиля, одноширокие 8j, к ним новую резину Pirelli шипы ранфлет 245/40/19, кстати по резине — резина 2019года выпуска, покупаю такую """"старую"""" впервые, но покупать свежую китайскую не стал, резина мягкая, отбалансировалась до 50гр на колесо. Старые r17 Новые r19 Ценник на диски с датчиками и колпачками 107 000, резина 60 000.""";неисправность отсутствует
Всем привет, сегодня решил установить руль купленный мною ещё перед новым годом спасибо большое вот этому человеку Kopeyckin он просто лучший отправил мне все нужные клеммы для подключения мульти руля и всё подробно объяснил как что и куда подключать, если бы не он то наверное я бы не справился так как в электрике я не селен, и о чуда всё подключил и всё работает по теплу буду подключать круиз что бы уж всё совсем было по фен-шую. И отреставрирую кнопки они затерты сами основания где стоят кнопки затянул плёнкой такой же как и затянуты у меня все элементы дерева смотриться гармонично. Свой старый руль в месте со шлейфом продаю если кому нужен пишите договоримся состояние очень хорошее перешитый подушка целая шлейф рабочий. Всем удачи на дорогах!;неисправность отсутствует
"""После продажи 39ки машину не искал, так как знал что хочу этого Икса! Человек не продавал его, но я долго уговаривал и спустя год, мы нашли компромисс) И так что мы имеем — 4.0д на м пакете Комплектация — панорамы нет (и слава богу) Проекции нет (жаль конечно) Комфортного входа тоже нет(ну хз говорят сложно найти ручку в случаи поломки) Есть расширенная отделка кожи! Есть музыка индивидуал(играет бомба)! Есть вентиляция Есть доводчики Подогрев заднего дивана, комфорт сиденья, круиз итд по мелочам ! Машина люто обслужена — прям перед продажей — цепи звезды подушки и многое многое ! Сделан легкий чип (не могу ничего сказать, пока не разобрался) По итогу нужно поменять задние колодки и всё!(фото не сделал но под капотом так же чисто и красиво как и в салоне) Но под вопросом как и у всех -это вкладыши! Эти твари многим жизнь испортили и я так же переживаю! Морально готовлюсь к замене коренных и шатунных- процедура очень дорогая (ОЧЕНЬ))но надо делать! Ибо они о себе не заявляют ни как и проворачивает их В целом машина огонь конечно- никогда не было дизеля, да еще такого/ говорить как едет смысла нет, надо это попробовать ! Из планов: 612 стиль оригинал, лэд фары, нбт, руль ф15, занижение пружинами на 3-5 см ейбах В общем как то так- если кто на опыте может что то посоветовать, всегда рад и спасибо !""";кривошипно-шатунный механизм
"""Запчасти на фото: 60062RS1C3 Всем спасибо! в предыдущем посте очень помогли с советами. Оказалась проблема с подвесным. Когда ремонтировали бублик, я увидел свой кардан в снятом виде и вспомнил, что у меня просто так уже 3 года в багажнике катается новый подвесной FAG, и я попросил его поставить, т.к. крутанул старый подшипник и он показался сухим. После ремонта бублика, услышав вой, и предположить не мог, что такие звуки может издавать подвесной, казалось, что звук идёт из бублика. Перегуглил все что можно, во всех сегментах интернета, но упор делал на вой бублика, и ничего не нашел. Отчаявшись попросил помощи на драйве, и сразу же мне написали, что это подвесной. Я не поверил первому написавшему, что такой страшный вой издает новый подвесной, но ещё несколько человек написали, что это точно подвесной. После этого при поиске в Гугле """"вой подвесного БМВ"""" сразу же нашел несколько видео с точно таким же звуком как у меня и стал уверен, что это оно. Итог: замена нового подшипника FAG made on Korea, на SKF made in Bulgaria помогла. Теперь все тихо. Всем огромная благодарность за подсказки!""";подвеска
"""Уууу, наконец забрал с Свх свои лайбу . Застряла там на 2 недели из за 1 человека, который сертификат безопасности вовремя не сделал . Так как транзитная накладная шла на весь автовоз — все ждал его . Какая же фка туринг ламповая тачка после g05 . Пока вез ее в паркинг — два раза прослезился от удовольствия . Пока на сохран, дальше будет видно )""";неисправность отсутствует
Машина продана, остались только приятные впечатления, продал за неделю, 3 млн. Взял рестайлинг www.drive2.ru/r/bmw/5_series/695192890892117113/;неисправность отсутствует
Если Кому интересны рули от f10 на е46 пишите;неисправность отсутствует
Много где читал что никто не может закодировать на копейку запуск авто без удержания тормоза, сидел баловался на 4pda нашел ломаную приложуху Carista, она смогла это сделать, теперь запуск двигателя можно делать легко и непринужденно;неисправность отсутствует
"""В редкий выходной день решили прокатиться куда-нибудь. Ну в принципе моим пофиг, куда повезут — там будут гулять. Выбор направления остаётся за мной. А выбрал я направление на Волоколамск. Но в самом Волоколамске мы уже бывали, музей там кстати понравился, а в других местах, коих там много, ещё нет. Первой целью этой поездки был Иосифо-Волоцкий монастырь в Теряево. С погодой, как это обычно бывает, когда у тебя выходной, не повезло. Небо было затянуто серыми тучами, моросил дождик. Но он кстати не был противным, даже наоборот. Касемо монастыря — место довольно приятное, а сам храм внутри очень атмосферен, с приятной мощной энергетикой, со своим духом. В этом духе есть и нотки Великой Отечественной, тогда одна из бомб попала в колокольню, разрушив её до основания. Восстанавливать её не стали, основание так и оставили около храма, как память о событиях тех лет, просто сделали над ним крышу. Фото к сожалению нет, телефон преподнес неприятный сюрприз. Около храма установлен плакат со схемой захоронения. Видимо каких-то важных персон. Некоторые фамилии на слуху. Находится захоронение, как я понимаю, под самим храмом, в подвалах, катакомбах. Фундамент храма выполнен из булыжной кладки По периметру украшения керамический глазированными плитками с рисунком. Изображения к сожалению одинаковые, в так можно было бы изучать их долго, обходя храм вокруг. Также на территории монастыря прямо внутри, в границах мощных стен, есть огород и яблоневый сад. Но яблоки брать нельзя. Иначе а-та-та… Ну и конечно же есть церковная сувенирная лавка. Богородица уже не та… Пока гуляли по территории, началась служба. Отстояли её и преполненные благодатью сели в колесницу свою и покатились дорожками разными искать место обеденное. На примете у меня было место на речке неподалёку, надо бы разведать. Поехали, как это обычно бывает, грунтовками. Через лесочки, красивые опушки и вот уже речка рядом, а перед ней на дороге овраг… А у нас дождик же идёт… Да и подъем с оврага ещё с уклоном в сторону… Повезло, что был раскатан свеженький объезд, где уклон не такой сильный. Там мы и взобрались наверх, но наверху нас ждали глубокие колеи… Прекрасно. Оценив ситуацию и окинув взглядом округу (была замечена нива недалеко на берегу реки) было принято решение штурмовать препятствие. Опасения в принципе оказались ложными, икс справился легко. Так мы выехали на небольшую дамбу. Дамба на р. Большая Сестра. А рядом нашли и подходящую для обеденного расслабления поляну. Что может быть вкуснее, чем еда, приготовленная в путешествии и съеденная на свежем воздухе вдали от суеты? Отобедав пошли гулять кто куда. Тут и приятный бережок с песочком. Плотина на р. Большая Сестра Но это для девочек… Мальчики отправляются изучать устройство инженерного сооружения. Первый раз вижу такую конструкцию, когда сегменты на тягах поворачиваются. Просто поднимаются либо опускаются лебедкой. Построена она была где-то в 60-х. Она просто временно перекрывала русло реки Большая Сестра, повышая уровень воды в нем, и тем самым заполняя примыкающий к ней неподалёку канал. Канал уходит на несколько километров и предназначен для наполнения водой прудов Лотошинского рыбхоза. Пока гуляли начал накрапывать дождик и я отправился к машине разворачивать тент. Сидеть под ним в дождь и пить вкусный чай — отдельный кайф. Да и не только в дождь. От ветра он тоже хорошо помогает. Использую его на выездах частенько. BMW X5 E70 camping. Позже на дамбу подъехала и та самая нива. Пошёл спросить у хозяина где я могу выехать и куда попаду, если поеду дальше. Как это обычно бывает, мы разговорились. Сказал быть осторожнее на дороге, животных диких много. Лоси, маралы, рыси. Слышали, говорит, она орала как раз недавно? Это была рысь. В деревню, сказал, не заходит, и так ей еды хватает. Поехав дальше отметил большое количество аистов. На водонапорках, на столбах. И они видимо ставили молодняк на крыло, очень много их летало. Выехали мы через Лотошинский рыбхоз, как я и хотел. Следующей точкой была Ярополецкая ГЭС. Оказывается здесь на берегу пруда я уже бывал раньше, только до самой плотины не дошёл. Встали в тени большого дерева и пошли гулять. Основная и наверное единственная достопримечательность — нестандартная дамба в доме подковы. Красиво. На кованых перилах конечно же висят замочки, а в воде видимо ключи от них. По обеим сторонам от дамбы, в площадках видны по два больших люка. Видимо через них опускались сами турбины и генераторы вниз. Одна из этих турбин демонстрируется неподалёку. Только что произошло с её мощным штоком? Что могло его так погнуть? Такого креативного соединения любовных уз я ещё не видел. А в речку, наверное, был выброшен ключ на 12. Чуть подальше стоит небольшой домик, к которому идёт небольшой канал. За домиком весьма живописные лесенки, спускающиеся к реке. Ну а на периллах конечно же замочки. Находясь внизу на мосту слышно, как внутри дома что-то работает. Какой-то механизм крутится. Задняя стенка дома — как отдельный вид искусства заполнения отметками о посещении. А в домике оказывается стоит генератор, видимо как раз снятый с ГЭС, и он работает. Внизу слышно как раз его. Думаю сюда водят экскурсии. В общем ещё несколько видов Ярополецкой ГЭС и отправляемся домой. На обратной дороге заметил в одном месте классные фигуры из металлолома. Проехал их мимо сначала, но я не мог не развернуться… А ещё там был прикольный милий пес за забором.""";неисправность отсутствует
всем привет, кто-то делал выхлоп на N52? Если да, то сколько вышло по деньгам и какие работы были проделаны?;неисправность отсутствует
"""Запись делаю для себя, чтобы не потерять дату когда это было. Крышка и под ней масляные запотевания Поискал в инете кто какие ставит. Нашел только что лучше всего себя показал Herman (Kardon🤣) Herman Нормально упакован Комплектик Замену делал, так как заметил что в патрубке турбины, которая идет к интеркулеру много масла. Перед установкой новой мембраны обезжирил посадочное место Как-то так Установил новую мембрану Новая Затем новую крышку с новой пружинкой Село плотно Осмотрел крышку КВКГ — вся в масле. Как оно пропускало через старую мембрану — не понятно. Когда ее менял она была достаточно мягкая и целая. Ещё впервые долил масло 1л на 10т км. Сначала грешил на саму турбину, но опытные специалисты порекомендовали начать с клапана (мембраны) После замены всё пока сухо. Проехал 3000км на новом масле. Пока норм Уровень в норме. Кстати, перешел на новое масло. Готова Буду наблюдать… Поддержим отечественных производителей 😉 На мой взгляд достойная замена импортным производителям, кто бы что не говорил. Замена раз в 5-6 тыс км будет самое то. Перед переходом на новое масло, промыл промывочным от этого же производителя. Всем удачи на дорогах! Берегите себя и свой автомобиль!""";система смазки
"""Всем привет! С наступившими праздниками! Ехал я в последние праздничные дни поздно вечером по делам, в крайне левом ряду Минского шоссе, в сторону Одинцово, около 75кмч и влетел в большую яму длинной около метра и шириной около 20см что ли, если правильно помню. Темно, освещение искусственное, дорога мокрая, я яму заметил в метре только, за секунду до удара, когда фары её в близи хорошо осветили. Как итог не успел вырулить и бабах. Опускаю окно и слышу шипение, сразу на обочину съезжаю, а там еще 4 легковые и 1 микроавтобус потипа газели стоят. Из них там еще 3 машины попавшие яму, одна уехала у нее обошлось без грыж и битых дисков, а две и я третий остались с травмами. У них грыжи и испорченная резина, у меня два спущенных колеса по левому бору и два мятых диска. Первая машина что влетела в яму уже вызвала передвижной шиномонтаж, это и был тот микроавтобус. У меня два левых колеса погнуло со внутренной стороны, резина на удивление выжила и колеса сдулись из-за того, что воздух вышел в месте удара. Шиномонтаж конечно пипец, за два колеса снять поставить, немного выстучать, что б можно было накачать колеса, взяли 16.000 карл! А так как я ну ооочень не хотел там стоять, я отдал эту сумму. Кто-то не отдал бы и был бы прав, а я осознанно отдал что б снова быть на коне в моменте. Мне еще предстоит доехать до правки дисков, что б выровнить и отбалансировать их, надеюсь еще дополнительных скрытых повреждений не обнаружу. В эти выходные доеду надеюсь. Уже стоящие на обочине водители вызвали ДПС, почти час назад от моего попадания в яму. Говорят погоди тут с нами, справку получишь и в суд. В итоге, лучше бы я уехал, ДПС то приехали через 10 мин как мне колеса поставили, но далее 3 часа оформляли 3 машины. Подходил пару раз узнать, а долго ли нам так стоять, оформлять, ну хотя бы примерно, так и не дали никаких сроков. Сказали бы что 2+ часа, я бы сразу уехал, мне моё время дороже. Теперь вопрос, я могу получить справку об этом дтп в ГАИ и потенциально отправить в суд адвоката/автоюриста. Есть смысл? Кто сталкивался?""";подвеска
"""Лично мой опыт по разным маслам. И так начнем с того что то двс после очень большого то включая мск и т.д Встал вопрос а какое же масло лить ?🤔 И задумался я и начал летать в просторах инета. Много кто льет Лукойл но поспрашивав и узнав мнение людей и мотористов скажу одно масло действительно было не плохим но главное в этом всем слово было! На одном из форумов прочитал и узнал что в данный момент добавляются присадки из Китая. И люди жалуются на него. Следующее масло это Бардаль. Сражу сразу масло сгорает и не хило так. Но само по себе масло хорошее даже с тем учетом что сгорает. Далее Мотюль на уровне но страдает той же бедой что и предыдущее это сгорание и чрезмерный расход масла. И собственно с чего я надумал писать данный пост Масло Yacco На уровне очень много людей его хвалит. Мотористы большинство говорят именно о нем. Ну и самый главный момент, оно не выгорает так как предыдущий масла. Напишите вы какое масло льете мне будет интересно узнать ваше мнение. Ну и конечно же мое мнение не навязывание а сугубо мой опыт. Всем спасибо за внимание 🤝""";неисправность отсутствует
"""Всех с наступившим 2025! И у меня вопрос ко всем автолюбителям и профессионалам. Я продал свою зетку и какое-то время был вообще без авто. За этот период я познал все """"радости"""" и горечи пешеходных передвижений и одновременно как-то обратил внимание на цены на бенз…сначала вроде как и ничего, а через несколько месяцев как увидел так присел. Ребята, ну хорош драть или бенз у нас нынче золотой? Я отлично откатался на Z4, очень выгодно ее продал, но теперь встал вопрос о следующем автомобиле. Смотрю в сторону 4 Cabrio. Уж очень запало мне в душу) Фото взял из нета 4 Кабрио чисто для сравнения и свою ладненькую зетку: BMW 4 Cabrio BMW Z4 Че по характеристикам: Основные отличия во-первых по кузову. Кабрио — это классика на базе купе 4-й серии. Оснащен мягкой складывающейся крышей и тем самым он универсален круглый год. Для комфортных поездок и долгих путешествий самое оно. Например, моя зетка была более динамичной и спортивной. Крыша кстати у него тканевая и как по мне более удобная и быстрая. Но вообще не катит под наши зимы. Не знаю, как кабрио на серпантине будет, но на родстере мне было прям кайфово, особенно в поворотах. Еще одно прям принципиально важное отличие для меня — количество мест. В Z4 как бы и без меня понятно, что купе, в Cabrio — 2+2. Не сказать, что пассажирам на задних будет удобно как в люксовом авто, но на короткие поездки вполне себе. По габаритам кабрио чуть пошире и объем багажника там поинтереснее — до 385 л. Привод, я рассматриваю xDrive, потому что чисто на заднем это не то…хотя тут уже дело случая, скажем так. Бюджет все-таки ограничен и если будет достойное предложение без полного привода, возьму) Двигатель: бенз, по лошадкам тоже еще не определился. Конечно, предпочел бы M440i, но опять же — цена кусается. В общем, динамики и скорости мне не хватило, но обстоятельства обязывают немного сбавить гонора и присмотреть что-то спокойнее, хотя честно признаюсь, с жалостью расставался с Z4…эх, хороша была. Я присматриваю себе на внутреннем рынке, но если честно, думаю в сторону параллельного импорта, так как у нас выбор ограничен, учитывая мои хотелки и главное бюджет… Запчасти на фото: 6190000 Кто ездил на BMW 4 Cabrio и Z4 — буду благодарен вашему мнению и наблюдениям! Всем чистых дорог)""";неисправность отсутствует
"""Первый визит в то. Небольшая ревизия. Разумеется было видно, что машина Питерская. Виден ржавый налет на ходовых узлах, подрамнике. Как ни странно, диагностика ходовой и узлов выявила только: — Замена задних стоек стабилизатора — Замена потрепанной эластичной муфты заднего кардана — Пыльник шруса — Замена масла в двигателе, фильтра, антифриз, доливка гура. В целом, я доволен, по ходовке, и основных узлам все хорошо. Процесс эксплуатации покажет. Заодно снял назойливые задние брызговики. Ждём запчасти и приедем менять.""";подвеска
"""Всем привет 👋 Продолжаю устранять недочеты. АКБ удачно умер. Думал оживить его. Даже купил зарядку, которая может «лечить» аккумулятор (во что я совсем не верю). Естественно не помогло. Стоял 100а обычный акб. Купил AGM 95a. Крутит отлично, посмотрим как долго будет жить. Но я думаю мне его хватит. Так же убирал колхоз с тросов капота. Бл.ть, какие-то гаечки, проволочки 🤦🏼 Нахера так делать, вообще не понятно. Купил пару тросов новых. Перед заменой посмотрел видео, как легко они меняются🤭 Это капец🤦🏼 Не удобно вообще и вообще не легко. Думаю вдвоем это делать сподручнее будет и быстрей. Но я поменял в одного. Теперь все стоит на своих местах и без соплей. Завтра поеду в малярку. Нужно оттереть клей на который были приклеены ноздри. Тоже не понятно мне зачем лепить такую х…йню 🤬 решетки стоят не так дорого и их полно аналогов и оригинальных, на разборках… Надеюсь победим клей, т.к. сам пытался отмачивать и ничего не получилось. Ну и отгоню машину в сервис, где наконец-то мне сделают свет😁 Пока что все🤷‍♂️ Всем мирного времени 😎✌️""";неисправность отсутствует
